id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,price,color,pattern,size,material
WPJ-006-XL,Women Colorful Flower Printed White Lounge Wear,Women Colorful Flower Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Colorful+Flower+Printed+White+Lounge+Wear?id=16,https://www.adoreaboo.com/aalam/stock/item/16/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Half White,Floral,XL,Cotton
WPJ-003-S,Women Flower Printed Green Lounge Wear,Women Flower Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Green+Lounge+Wear?id=17,https://www.adoreaboo.com/aalam/stock/item/17/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Grey,Floral,S,Cotton
WPJ-003-M,Women Flower Printed Green Lounge Wear,Women Flower Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Green+Lounge+Wear?id=18,https://www.adoreaboo.com/aalam/stock/item/18/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Grey,Floral,M,Cotton
WPJ-003-L,Women Flower Printed Green Lounge Wear,Women Flower Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Green+Lounge+Wear?id=19,https://www.adoreaboo.com/aalam/stock/item/19/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Grey,Floral,L,Cotton
WPJ-003-XL,Women Flower Printed Green Lounge Wear,Women Flower Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Green+Lounge+Wear?id=20,https://www.adoreaboo.com/aalam/stock/item/20/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Grey,Floral,XL,Cotton
WPJ-004-S,Women Flower Printed Pink Lounge Wear,Women Flower Printed Pink Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Pink+Lounge+Wear?id=21,https://www.adoreaboo.com/aalam/stock/item/21/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Pink,Floral,S,Cotton
WPJ-004-M,Women Flower Printed Pink Lounge Wear,Women Flower Printed Pink Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Pink+Lounge+Wear?id=22,https://www.adoreaboo.com/aalam/stock/item/22/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Pink,Floral,M,Cotton
WPJ-004-L,Women Flower Printed Pink Lounge Wear,Women Flower Printed Pink Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Pink+Lounge+Wear?id=23,https://www.adoreaboo.com/aalam/stock/item/23/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Pink,Floral,L,Cotton
WPJ-004-XL,Women Flower Printed Pink Lounge Wear,Women Flower Printed Pink Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Pink+Lounge+Wear?id=24,https://www.adoreaboo.com/aalam/stock/item/24/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Pink,Floral,XL,Cotton
WPJ-001-S,Women Bear Printed White Lounge Wear,Women Bear Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Bear+Printed+White+Lounge+Wear?id=25,https://www.adoreaboo.com/aalam/stock/item/25/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,White,Animals,S,Cotton
