id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,sale price,price
1-LMT-06-202,Zigzag-Large Muslin Towel,Zigzag-Large Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Zigzag?id=15,https://www.beelittle.in/aalam/stock/item/15/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,399.0 INR
1-LMT-06-203,Magic is Real-Large Muslin Towel,Magic is Real-Large Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=16,https://www.beelittle.in/aalam/stock/item/16/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,399.0 INR
2-SMT-00-201,Ira the Elephant-2-Pack Small Muslin Towel,Ira the Elephant-2-Pack Small Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=17,https://www.beelittle.in/aalam/stock/item/17/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
2-SMT-00-203,Magic is Real-2-Pack Small Muslin Towel,Magic is Real-2-Pack Small Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=18,https://www.beelittle.in/aalam/stock/item/18/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
1-KFR-12-205 -1,Black Beauty -1-Jaipur Tie-up Style Frock,Black Beauty -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=19,https://www.beelittle.in/aalam/stock/item/19/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,949.0 INR
1-KFR-612-205 -1,Black Beauty -1-Jaipur Tie-up Style Frock,Black Beauty -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=20,https://www.beelittle.in/aalam/stock/item/20/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,899.0 INR
1-KFR-23-205 -1,Black Beauty -1-Jaipur Tie-up Style Frock,Black Beauty -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=21,https://www.beelittle.in/aalam/stock/item/21/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,999.0 INR
1-KFR-12-202 -1,Peach Love -1-Jaipur Tie-up Style Frock,Peach Love -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=22,https://www.beelittle.in/aalam/stock/item/22/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,949.0 INR
1-KFR-612-202 -1,Peach Love -1-Jaipur Tie-up Style Frock,Peach Love -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=23,https://www.beelittle.in/aalam/stock/item/23/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,899.0 INR
1-KFR-23-202 -1,Peach Love -1-Jaipur Tie-up Style Frock,Peach Love -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=24,https://www.beelittle.in/aalam/stock/item/24/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,999.0 INR
1-KFR-12-203 -1,Red Bird -1-Jaipur Tie-up Style Frock,Red Bird -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=25,https://www.beelittle.in/aalam/stock/item/25/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,949.0 INR
1-KFR-612-203 -1,Red Bird -1-Jaipur Tie-up Style Frock,Red Bird -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=26,https://www.beelittle.in/aalam/stock/item/26/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,899.0 INR
1-KFR-23-203 -1,Red Bird -1-Jaipur Tie-up Style Frock,Red Bird -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=27,https://www.beelittle.in/aalam/stock/item/27/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,999.0 INR
1-KFR-23-204 -1,Blue Creepers -1-Jaipur Tie-up Style Frock,Blue Creepers -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=28,https://www.beelittle.in/aalam/stock/item/28/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,999.0 INR
1-KFR-12-204 -1,Blue Creepers -1-Jaipur Tie-up Style Frock,Blue Creepers -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=29,https://www.beelittle.in/aalam/stock/item/29/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,949.0 INR
1-KFR-612-204 -1,Blue Creepers -1-Jaipur Tie-up Style Frock,Blue Creepers -1-Jaipur Tie-up Style Frock,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=30,https://www.beelittle.in/aalam/stock/item/30/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,899.0 INR
1-CRF-36-201,Pink Bunny-Cap Sleeve Frock,Pink Bunny-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=31,https://www.beelittle.in/aalam/stock/item/31/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-CRF-12-201,Pink Bunny-Cap Sleeve Frock,Pink Bunny-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=32,https://www.beelittle.in/aalam/stock/item/32/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,499.0 INR
1-CRF-612-201,Pink Bunny-Cap Sleeve Frock,Pink Bunny-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=33,https://www.beelittle.in/aalam/stock/item/33/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-CRF-23-201,Pink Bunny-Cap Sleeve Frock,Pink Bunny-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=34,https://www.beelittle.in/aalam/stock/item/34/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,499.0 INR
1-CRF-36-202,Stars in Green-Cap Sleeve Frock,Stars in Green-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=35,https://www.beelittle.in/aalam/stock/item/35/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,224.5 INR,449.0 INR
