id,title,description,availability,condition,link,image_link,brand,google_product_category,size,price
1-LMT-06-202,Zigzag,Zigzag,in stock,new,https://www.beelittle.in/store/item/Zigzag?id=15,https://www.beelittle.in/aalam/stock/item/15/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,,499.0 INR
1-LMT-06-203,Magic is Real,Magic is Real,out of stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=16,https://www.beelittle.in/aalam/stock/item/16/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,,499.0 INR
2-SMT-00-201,Ira the Elephant,Ira the Elephant,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=17,https://www.beelittle.in/aalam/stock/item/17/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,,699.0 INR
2-SMT-00-203,Magic is Real,Magic is Real,out of stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=18,https://www.beelittle.in/aalam/stock/item/18/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,,699.0 INR
1-KFR-12-205 -1,Black Beauty -1,Black Beauty -1,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=19,https://www.beelittle.in/aalam/stock/item/19/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,949.0 INR
1-KFR-612-205 -1,Black Beauty -1,Black Beauty -1,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=20,https://www.beelittle.in/aalam/stock/item/20/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,899.0 INR
1-KFR-23-205 -1,Black Beauty -1,Black Beauty -1,out of stock,new,https://www.beelittle.in/store/item/Black+Beauty+-1?id=21,https://www.beelittle.in/aalam/stock/item/21/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,999.0 INR
1-KFR-12-202 -1,Peach Love -1,Peach Love -1,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=22,https://www.beelittle.in/aalam/stock/item/22/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,949.0 INR
1-KFR-612-202 -1,Peach Love -1,Peach Love -1,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=23,https://www.beelittle.in/aalam/stock/item/23/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,899.0 INR
1-KFR-23-202 -1,Peach Love -1,Peach Love -1,out of stock,new,https://www.beelittle.in/store/item/Peach+Love+-1?id=24,https://www.beelittle.in/aalam/stock/item/24/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,999.0 INR
1-KFR-12-203 -1,Red Bird -1,Red Bird -1,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=25,https://www.beelittle.in/aalam/stock/item/25/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,949.0 INR
1-KFR-612-203 -1,Red Bird -1,Red Bird -1,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=26,https://www.beelittle.in/aalam/stock/item/26/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,899.0 INR
1-KFR-23-203 -1,Red Bird -1,Red Bird -1,out of stock,new,https://www.beelittle.in/store/item/Red+Bird+-1?id=27,https://www.beelittle.in/aalam/stock/item/27/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,999.0 INR
1-KFR-23-204 -1,Blue Creepers -1,Blue Creepers -1,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=28,https://www.beelittle.in/aalam/stock/item/28/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,999.0 INR
1-KFR-12-204 -1,Blue Creepers -1,Blue Creepers -1,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=29,https://www.beelittle.in/aalam/stock/item/29/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,949.0 INR
1-KFR-612-204 -1,Blue Creepers -1,Blue Creepers -1,out of stock,new,https://www.beelittle.in/store/item/Blue+Creepers+-1?id=30,https://www.beelittle.in/aalam/stock/item/30/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,899.0 INR
1-CRF-36-201,Pink Bunny,Pink Bunny,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=31,https://www.beelittle.in/aalam/stock/item/31/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,449.0 INR
1-CRF-12-201,Pink Bunny,Pink Bunny,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=32,https://www.beelittle.in/aalam/stock/item/32/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,499.0 INR
1-CRF-612-201,Pink Bunny,Pink Bunny,out of stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=33,https://www.beelittle.in/aalam/stock/item/33/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,449.0 INR
1-CRF-23-201,Pink Bunny,Pink Bunny,in stock,new,https://www.beelittle.in/store/item/Pink+Bunny?id=34,https://www.beelittle.in/aalam/stock/item/34/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,499.0 INR
1-CRF-36-202,Stars in Green,Stars in Green,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=35,https://www.beelittle.in/aalam/stock/item/35/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,449.0 INR
1-CRF-12-202,Stars in Green,Stars in Green,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=36,https://www.beelittle.in/aalam/stock/item/36/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,499.0 INR
1-CRF-612-202,Stars in Green,Stars in Green,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=37,https://www.beelittle.in/aalam/stock/item/37/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,449.0 INR
1-CRF-23-202,Stars in Green,Stars in Green,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=38,https://www.beelittle.in/aalam/stock/item/38/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,499.0 INR
1-CRF-23-203,Button Love,Button Love,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=39,https://www.beelittle.in/aalam/stock/item/39/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,499.0 INR
1-CRF-36-203,Button Love,Button Love,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=40,https://www.beelittle.in/aalam/stock/item/40/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,449.0 INR
1-CRF-12-203,Button Love,Button Love,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=41,https://www.beelittle.in/aalam/stock/item/41/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,499.0 INR
1-CRF-612-203,Button Love,Button Love,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=42,https://www.beelittle.in/aalam/stock/item/42/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,449.0 INR
2-SFR-23-201,Mustard Flowers,Mustard Flowers,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=43,https://www.beelittle.in/aalam/stock/item/43/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,849.0 INR
2-SFR-12-201,Mustard Flowers,Mustard Flowers,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=44,https://www.beelittle.in/aalam/stock/item/44/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,799.0 INR
2-SFR-612-201,Mustard Flowers,Mustard Flowers,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=45,https://www.beelittle.in/aalam/stock/item/45/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,799.0 INR
2-SFR-23-202,Colourful Stripes,Colourful Stripes,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=46,https://www.beelittle.in/aalam/stock/item/46/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,849.0 INR
2-SFR-12-202,Colourful Stripes,Colourful Stripes,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=47,https://www.beelittle.in/aalam/stock/item/47/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,799.0 INR
2-SFR-612-202,Colourful Stripes,Colourful Stripes,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=48,https://www.beelittle.in/aalam/stock/item/48/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,799.0 INR
2-SFR-23-203,Navy Combo,Navy Combo,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=49,https://www.beelittle.in/aalam/stock/item/49/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,849.0 INR
2-SFR-12-203,Navy Combo,Navy Combo,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=50,https://www.beelittle.in/aalam/stock/item/50/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,799.0 INR
2-SFR-612-203,Navy Combo,Navy Combo,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=51,https://www.beelittle.in/aalam/stock/item/51/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,799.0 INR
2-SFR-23-204,Rainbows,Rainbows,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=52,https://www.beelittle.in/aalam/stock/item/52/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,849.0 INR
2-SFR-12-204,Rainbows,Rainbows,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=53,https://www.beelittle.in/aalam/stock/item/53/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,799.0 INR
2-SFR-612-204,Rainbows,Rainbows,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=54,https://www.beelittle.in/aalam/stock/item/54/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,799.0 INR
01-HERJ-03-001 - 1,Woad Blue - 1,Woad Blue - 1,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=55,https://www.beelittle.in/aalam/stock/item/55/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,0-3M,399.0 INR
01-HERJ-NB-001 - 1,Woad Blue - 1,Woad Blue - 1,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=56,https://www.beelittle.in/aalam/stock/item/56/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Newborn,349.0 INR
01-HERJ-03-002 - 1,Cranberry - 1,Cranberry - 1,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=57,https://www.beelittle.in/aalam/stock/item/57/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,0-3M,399.0 INR
01-HERJ-NB-002 - 1,Cranberry - 1,Cranberry - 1,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=58,https://www.beelittle.in/aalam/stock/item/58/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Newborn,349.0 INR
01-HERJ-03-003 - 1,Dusty Orchid - 1,Dusty Orchid - 1,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=59,https://www.beelittle.in/aalam/stock/item/59/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,0-3M,399.0 INR
01-HERJ-NB-003 - 1,Dusty Orchid - 1,Dusty Orchid - 1,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=60,https://www.beelittle.in/aalam/stock/item/60/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Newborn,349.0 INR
01-HERJ-03-004 - 1,Kasam Putty - 1,Kasam Putty - 1,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=61,https://www.beelittle.in/aalam/stock/item/61/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,0-3M,399.0 INR
01-HERJ-NB-004 - 1,Kasam Putty - 1,Kasam Putty - 1,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=62,https://www.beelittle.in/aalam/stock/item/62/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Newborn,349.0 INR
02-HEJS-36-001-1,Woad Blue - 1-Shorts,Woad Blue - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=63,https://www.beelittle.in/aalam/stock/item/63/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,599.0 INR
02-HEJS-612-001-1,Woad Blue - 1-Shorts,Woad Blue - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=64,https://www.beelittle.in/aalam/stock/item/64/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,649.0 INR
02-HEJS-36-002-1,Cranberry - 1-Shorts,Cranberry - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=65,https://www.beelittle.in/aalam/stock/item/65/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,599.0 INR
